artist_name,track_name,release_date,genre,lyrics
Heart,Barracuda,1977-05-14,classic,"From the 3x Platinum album Little Queen To one’s… Read More [Intro] [Verse 1] So this ain't the end, I saw you again today I had to turn my heart away Smile like the sun, kisses for everyone And tales, it never fails [Chorus] You lying so low in the weeds I bet you gonna ambush me You'd have me down, down, down, down on my knees Now wouldn't you, Barracuda? Oh [Instrumental Bridge] [Verse 2] Back over time, we were all trying for free You met the porpoise and me, uh-huh No right, no wrong, selling a song, a name Whisper game [Chorus] And if the real thing don't do the trick You better make up something quick You gonna burn, burn, burn, burn, burn to the wick Ooh, Barracuda, oh, yeah [Bridge] ""Sell me, sell you,"" the porpoise said Dive down deep now to save my head You, I think that you got the blues, too All that night and all the next Swam without looking back Made for the western pools, silly, silly fools [Guitar Solo] [Chorus] The real thing don't do the trick, no? You better make up something quick You gonna burn, burn, burn, burn, burn it to the wick Oh, Barra-Barracuda, yeah [Outro]"
Billy Idol,White Wedding - Pt. 1,1982-01-01,classic,Hey little sister who's the only one Hey little sister who's your superman Hey little sister who's the one you want Hey little sister shot gun! It's a nice day to start again It's a nice day for a white wedding It's a nice day to start again Hey little sister who is your with Hey little sister what's your fasinish Hey little sister shot gun (oh yeah) Hey little sister who's your superman Hey little sister shot gun! It's a nice day to start again (come on) It's a nice day for a white wedding It's a nice day to start again (Pick it up) Take me back home Hey little sister what have you done Hey little sister who's the only one I've been away for so long (so long) I've been away for so long (so long) I let you go for so long It's a nice day to start again (come on) It's a nice day for a white wedding It's a nice day to start again There is nothin' fair in this world There is nothin' safe in this world And there's nothin' sure in this world And there's nothin' pure in this world Look for something left in this world Start again Come on It's a nice day for a white wedding It's a nice day to start again It's a nice day for a white wedding It's a nice day to start again
Queen,I Want To Break Free - Single Remix,1984-02-27,classic,"I want to break free I want to break free I want to break free from your lies You're so self-satisfied, I don't need you I've got to break free God knows, God knows I want to break free [Verse 2] I've fallen in love I've fallen in love for the first time And this time I know it's for real I've fallen in love, yeah God knows, God knows I've fallen in love [Bridge] It's strange but it's true, yeah I can't get over the way you love me like you do But I have to be sure When I walk out that door Oh, how I want to be free, baby Oh, how I want to be free Oh, how I want to break free [Verse 3] But life still goes on I can't get used to living without, living without Living without you by my side I don't want to live alone, hey God knows, got to make it on my own So baby, can't you see? I've got to break free [Outro] I've got to break free I want to break free, yeah I want, I want, I want, I want to break free"
Jim Croce,Time in a Bottle,1972-04-01,classic,"From the… Read More [Intro] [Verse 1] If I could save time in a bottle The first thing that I'd like to do Is to save every day 'til eternity passes away Just to spend them with you [Verse 2] If I could make days last forever If words could make wishes come true I'd save every day like a treasure and then Again, I would spend them with you [Chorus] But there never seems to be enough time To do the things you want to do once you find them I've looked around enough to know That you're the one I want to go through time with [Verse 3] If I had a box just for wishes And dreams that had never come true The box would be empty, except for the memory of how They were answered by you [Chorus] But there never seems to be enough time To do the things you want to do once you find them I've looked around enough to know That you're the one I want to go through time with [Outro]"
The Mamas & The Papas,Dream A Little Dream Of Me,1968-05-01,classic,"… Read More [Intro] [Verse 1] Stars shining bright above you Night breezes seem to whisper, ""I love you"" Birds singin' in the sycamore tree Dream a little dream of me [Verse 2] Say ""nighty-night"" and kiss me Just hold me tight and tell me you'll miss me While I'm alone and blue as can be Dream a little dream of me [Chorus] Stars fading, but I linger on, dear Still craving your kiss I'm longing to linger 'til dawn, dear Just saying this [Verse 3] Sweet dreams 'til sunbeams find you Sweet dreams that leave all worries behind you But in your dreams, whatever they be Dream a little dream of me [Piano Solo] [Chorus] Stars fading, but I linger on, dear Still craving your kiss I'm longing to linger 'til dawn, dear Just saying this [Verse 4] Sweet dreams 'til sunbeams find you Sweet dreams that leave all worries far behind you But in your dreams, whatever they be Dream a little dream of me [Instrumental Outro]"
The Mamas & The Papas,California Dreamin',2001-08-28,classic,"Originally recorded by Barry McGuire (of “Eve of Destruction” fame)… Read More [Chorus] All the leaves are brown (All the leaves are brown) And the sky is gray (And the sky is gray) I've been for a walk (I've been for a walk) On a winter's day (On a winter's day) I'd be safe and warm (I'd be safe and warm) If I was in L.A. (If I was in L.A.) California dreamin' (California dreamin') On such a winter's day [Verse] Stopped in to a church I passed along the way Well, I got down on my knees (Got down on my knees) And I pretend to pray (I pretend to pray) You know the preacher liked the cold (Preacher liked the cold) He knows I'm gonna stay (Knows I'm gonna stay) California dreamin' (California dreamin') On such a winter's day [Flute Solo] [Chorus] All the leaves are brown (All the leaves are brown) And the sky is gray (And the sky is gray) I've been for a walk (I've been for a walk) On a winter's day (On a winter's day) If I didn't tell her (If I didn't tell her) I could leave today (I could leave today) California dreamin' (California dreamin') On such a winter's day (California dreamin') On such a winter's day (California dreamin') On such a winter's day"
The Bellamy Brothers,Let Your Love Flow,1976-07-01,classic,"It was written by Larry E. Williams, a former roadie for Neil Diamond. The song was offered to Diamond who turned it down… Read More [Intro] [Verse 1] There's a reason for the sun-shining sky And there's a reason why I'm feeling so high Must be the season when that love light shines all around us [Pre-Chorus 1] So, let that feeling grab you deep inside And send you reeling where your love can't hide And then go stealing through the moonlit nights with your lover [Chorus] Just let your love flow like a mountain stream And let your love grow with the smallest of dreams And let your love show and you'll know what I mean It's the season Let your love fly like a bird on a wing And let your love bind you to all living things And let your love shine and you'll know what I mean That's the reason [Verse 2] There's a reason for the warm sweet nights And there's a reason for the candlelights Must be the season when those love rights shine all around us [Pre-Chorus 2] So, let that wonder take you into space And lay you under its loving embrace Just feel the thunder as it warms your face, you can't hold back [Chorus] Just let your love flow like a mountain stream And let your love grow with the smallest of dreams And let your love show and you'll know what I mean It's the season Let your love fly like a bird on a wing And let your love bind you to all living things And let your love shine and you'll know what I mean That's the reason [Chorus] Just let your love flow like a mountain stream And let your love grow with the smallest of dreams And let your love show and you'll know what I mean It's the season Let your love fly like a bird on a wing And let your love bind you to all living things And let your love shine and you'll know what I mean That's the reason [Outro] Just let your love flow like a mountain stream And let your love grow with the smallest of dreams"
The Doors,Riders on the Storm,1971-04-19,classic,"This evolved out of a jam session when the… Read More [Instrumental Intro] [Verse 1] Riders on the storm Riders on the storm Into this house we're born Into this world we're thrown Like a dog without a bone An actor out on loan Riders on the storm [Verse 2] There's a killer on the road His brain is squirmin' like a toad Take a long holiday Let your children play If you give this man a ride Sweet family will die Killer on the road, yeah [Instrumental Break] [Verse 3] Girl, you gotta love your man Girl, you gotta love your man Take him by the hand Make him understand The world on you depends Our life will never end Gotta love your man, yeah [Instrumental Break] [Verse 1] Riders on the storm Riders on the storm Into this house we're born Into this world we're thrown Like a dog without a bone An actor out on loan Riders on the storm [Outro] Riders on the storm Riders on the storm Riders on the storm Riders on the storm [Instrumental Outro]"
Tom Petty and the Heartbreakers,Learning To Fly,1991-01-01,classic,"Well, I started out down a dirty road Started out all alone And the sun went down as I crossed the hill And the town lit up, the world got still [Chorus] I'm learning to fly but I ain't got wings Coming down is the hardest thing [Verse 2] Well, the good old days may not return And the rocks might melt and the sea may burn [Chorus] I'm learning to fly (Learning to fly) But I ain't got wings (Learning to fly) Coming down (Learning to fly) Is the hardest thing (Learning to fly) [Verse 3] Well, some say life will beat you down Break your heart, steal your crown So I've started out for God knows where I guess I'll know when I get there [Chorus] I'm learning to fly around the clouds But what goes up (Learning to fly) Must come down [Outro] I'm learning to fly (Learning to fly) But I ain't got wings Coming down is the hardest thing I'm learning to fly (Learning to fly) Around the clouds But what goes up (Learning to fly) Must come down I'm learning to fly (Learning to fly, learning to fly) I'm learning to fly (Learning to fly, learning to fly) (Learning to fly, learning to fly)"
Alannah Myles,Black Velvet,1989-03-14,classic,"It was written in 1987 as a tribute to… Read More [Intro: Whispered] [?] [Verse 1] Mississippi in the middle of a dry spell Jimmie Rodgers on the Victrola up high Mama's dancin' with baby on her shoulder The sun is settin' like molasses in the sky [Pre-Chorus] The boy could sing, knew how to move, everything Always wanting more, he'd leave you longing for [Chorus] Black velvet and that little boy's smile Black velvet with that slow southern style A new religion that'll bring ya to your knees Black velvet if you please [Verse 2] Up in Memphis, the music's like a heatwave White lightning, bound to drive you wild Mama's baby's in the heart of every schoolgirl ""Love Me Tender"" leaves 'em cryin' in the aisle [Pre-Chorus] The way he moved, it was a sin, so sweet and true Always wanting more, he'd leave you longing for [Chorus] Black velvet and that little boy's smile Black velvet with that slow southern style A new religion that'll bring ya to your knees Black velvet if you please [Bridge] Every word of every song that he sang was for you In a flash, he was gone, it happened so soon What could you do? [Guitar Solo] [Chorus] Black velvet and that little boy's smile Black velvet with that slow southern style A new religion that'll bring ya to your knees Black velvet if you please Black velvet and that little boy's smile Black velvet with that slow southern style A new religion that'll bring ya to your knees Black velvet if you please [Outro] If you please If you please If you please"
Koe Wetzel,Something to Talk About,2016-08-17,classic,"I could fight the cops with my bare two hands End up in jail eatin' microwave hell But I'm a little smarter than that I could even wait 'til the night got late Maybe with some fog and rain too Steal all the riches from them greedy sons of bitches And send in my story to the news Then you'd have somethin' to talk about Tell 'em I'm Jesse James Yeah we'll make 'em all believe it Nah there ain't no doubt That I will give you somethin' to talk about Take two, a bar and drink like a sailor and take home a married woman Tell her that I love her when her man walks in and puts a hollow point in my head Later on at the funeral everyone is cryin' I could bust out of the casket that my momma picked out Dance all around the jolly good fellow Well then you'd have, then you'd have Somethin' to talk about Tell 'em I've gone insane Yeah we'll make 'em all believe it Nah there ain't no doubt That I will give you somethin' to talk about Talk about Get to talkin' Then you'd have Somethin' to talk about Tell 'em I'm strung on cocaine Yeah we'll make 'em all believe it Nah there ain't no doubt That I will give you somethin' to Somethin' to talk about Tell 'em I'm high as a plane Yeah we'll make 'em all believe it Nah there ain't no doubt That I will give you Somethin' to talk about Yeah, yeah Somethin', somethin' to talk about"
Def Leppard,Hysteria,1987-08-03,classic,"Out of touch, out of reach, yeah You could try to get closer to me I'm in love, I'm in deep, yeah Hypnotized, I'm shaking to my knees [Pre-Chorus] I got to know tonight If you're alone tonight Can't stop this feeling Can't stop this fire [Chorus] Oh, I get hysterical, hysteria, oh, can you feel it, do you believe it? It's such a magical mysteria When you get that feeling better start believing Because it's a miracle, oh, say you will, ooh babe Hysteria when you're near [Verse 2] Out of me, into you, yeah You can hide, it's just a one way street Oh, I believe I'm in you, yeah Open wide that's right, dream me off my feet Oh, believe in me [Pre-Chorus] I got to know tonight If you're alone tonight Can't stop this feeling Can't stop this fire [Chorus] Oh, I get hysterical, hysteria, oh, can you feel it, do you believe it? It's such a magical mysteria When you get that feeling better start believing Because it's a miracle, oh, say you will, ooh babe Hysteria when you're near [Pre-Chorus] I got to know tonight If you're alone tonight Can't stop this feeling Can't stop this fire [Chorus] Oh, I get hysterical, hysteria, oh, can you feel it, do you believe it? It's such a magical mysteria When you get that feeling better start believing Because it's a miracle, oh, say you will, ooh babe Hysteria when you're near [Chorus 2] I get hysterical, hysteria When you get that feeling, you'd better believe it Better start believing, because it's a miracle Oh, say you will, oh babe, say you will [Outro] Get closer to me, get closer baby Baby, closer, get closer, closer to me"
Mungo Jerry,In the Summertime,1970-01-01,classic,"Many times considered to be one of the most… Read More [Chorus] Chh, chh-chh, uh, chh, chh-chh, uh Chh, chh-chh, uh, chh, chh-chh, uh Chh, chh-chh, uh, chh, chh-chh, uh Chh, chh-chh, uh, chh, chh-chh, uh Chh, chh-chh, uh, chh, chh-chh, uh Chh, chh-chh, uh, chh, chh-chh [Verse 1] In the summertime, when the weather is high You can stretch right up and touch the sky When the weather's fine You got women, you got women on your mind Have a drink, have a drive Go out and see what you can find [Verse 2] If her daddy's rich, take her out for a meal If her daddy's poor, just do what you feel Speed along the lane Do a ton or a ton an' twenty-five When the sun goes down You can make it, make it good in a lay-by [Verse 3] We're not grey people We're not dirty, we're not mean We love everybody, but we do as we please When the weather's fine We go fishin' or go swimmin' in the sea We're always happy Life's for livin', yeah, that's our philosophy [Verse 4] Sing along with us Dee, dee, dee-dee, dee Dah, dah, dah-dah, dah Yeah, we're hap—happy Dah, dah-dah Dee-dah-do, dee-dah-do, dah-do-dah (Yeah) Dah-do-dah-dah-dah (All right, All right) Dah-dah-dah, do-dah-dah All right [Chorus] Chh, chh-chh, uh, chh, chh-chh, uh Chh, chh-chh, uh, chh, chh-chh, uh Chh, chh-chh, uh, chh, chh-chh, uh Chh, chh-chh, uh, chh, chh-chh, uh Chh, chh-chh, uh, chh, chh-chh, uh Chh, chh-chh, uh, chh, chh-chh [Verse 5] When the winter's here, yeah, it's party time Bring your bottle, wear your bright clothes It'll soon be summertime And we'll sing again We'll go drivin' or maybe we'll settle down If she's rich, if she's nice Bring your friends and we'll all go into town [Motorcycle noise] [Chorus] Chh chh-chh, uh, chh chh-chh, uh Chh, chh-chh, uh, chh, chh-chh, uh Chh, chh-chh, uh, chh, chh-chh, uh Chh, chh-chh, uh, chh, chh-chh, uh Chh, chh-chh, uh, chh, chh-chh, uh Chh, chh-chh, uh, chh, chh-chh [Verse 1] In the summertime, when the weather is high You can stretch right up and touch the sky When the weather's fine You got women, you got women on your mind Have a drink, have a drive Go out and see what you can find [Verse 2] If her daddy's rich, take her out for a meal If her daddy's poor, just do what you feel Speed along the lane Do a ton or a ton an' twenty-five When the sun goes down You can make it, make it good in a lay-by [Verse 3] We're not grey people We're not dirty, we're not mean We love everybody, but we do as we please When the weather's fine We go fishin' or go swimmin' in the sea We're always happy Life's for livin', yeah, that's our philosophy [Verse 4] Sing along with us Dee, dee, dee-dee, dee Dah, dah, dah-dah, dah Yeah, we're hap—happy Dah, dah-dah Dee-dah-do dee-dah-do, dah-do-dah (Yeah) Dah-do-dah-dah-dah (All right, all right) Dah-dah-dah, do-dah-dah Yeah, all right"
